team;points_per_match;highest_scoring_teams;most_goals_conceded_teams;yellow_cards;red_cards;penalties_won;penalty_goals;expected_goals_xg;non_penalty_expected_goals_xg;expected_goals_against_xga;encounters_in_opponent_box;finishing_percentage;big_chances_created;open_play_goals;counterattack_goals;free_kick_goals;header_goals;possession_percentage;goals_from_outside_box;goals_from_inside_box;total_shots_per_match;accurate_shots_per_match;shots_off_the_post;total_passes_per_match;accurate_passes_per_match;accurate_passes_in_opponent_half_per_match;accurate_long_passes_per_match;accurate_crosses_per_match;accurate_cross_percentage;successful_dribbles_per_match;successful_dribbling_percentage;corners_per_match;fouls_committed;fouls_won;possessions_gained_per_match;interceptions_per_match;successful_interventions_per_match;successful_intervention_percentage;hazards_prevented_per_match;total_duels_won_per_match;duel_win_percentage;aerial_duels_won_per_match;aerial_duel_win_percentage;offsides_per_match;turnovers_per_match;matches_finished_without_conceding
Galatasaray;2.7;92;26;65;1;14;11;79.6;68.5;30;33.9;12.4;195;61;3;1;14;60.9;18;72;19.6;6.7;29;481;393.9;183.2;26.2;6.4;29.2;8.4;47.2;6.9;523;428;52.3;8.9;10.7;65.4;14.2;52.4;49.7;16.9;55.3;2.1;8.4;18
Fenerbahçe;2.6;99;31;88;5;17;12;91;77.6;26;35.7;14.8;227;69;1;2;7;56.9;15;80;17.6;7.1;13;469.3;383.6;182.3;24.6;5.8;28.9;8.8;48.6;6;516;525;53.4;9.6;10.8;63.7;14;53.6;52.1;14.4;55.6;2.1;8.9;17
Trabzonspor;1.8;69;50;63;1;4;4;45.9;42.7;46.8;21;13.4;133;44;3;4;17;52.9;12;53;13.6;4.4;15;439.4;359.2;154.8;29.9;4.1;23.4;6.7;43.7;5;461;502;46.9;8.4;9.4;61.7;16.1;50.7;51.6;16.1;57.2;1.2;7.6;11
Başakşehir;1.6;57;43;76;5;6;5;51.3;46.6;45;19.3;12.8;104;41;0;1;10;53;7;48;11.7;4.2;11;449.6;373.8;137.8;25.4;4.5;29.7;8;50.6;4.1;499;479;44.5;8.8;8.3;61.3;17.6;49.5;50.2;15.6;52.6;2.4;8.7;13
Kasımpaşa;1.5;62;65;70;2;6;5;52.1;47.4;60.6;21.8;11.5;122;37;4;1;10;47.1;11;48;14.1;4.6;16;374.3;280.7;121;22.5;4.7;23.9;7.6;49.8;5;460;439;51;10.2;10.1;63.5;19.6;51.9;51.3;17.4;54.1;2.4;7.3;8
Beşiktaş;1.5;52;47;91;4;7;3;50.1;44.6;41.1;23.4;10.1;115;33;2;0;10;54.9;8;43;13.6;4.7;17;441.5;362;168.1;28.5;4.4;22.8;9.8;51;5.3;519;458;47.6;9.4;9.7;60.4;15.1;53.9;50.9;16.2;55.7;1.4;9.7;14
Alanyaspor;1.4;53;50;83;4;7;5;53.3;47.7;45.2;21.6;11.8;123;35;5;1;3;52.7;10;42;11.8;4;9;474.5;396.3;157.9;28.1;4.3;24.6;8.2;53.7;4.3;428;462;47.1;7.7;9.4;60.6;19.5;47.1;51.6;11.6;48.2;2.1;7.2;9
Sivasspor;1.4;47;54;75;3;5;5;41.3;37.4;51.4;16;10.8;98;23;9;3;4;41.7;13;33;11.4;4.6;7;350.1;277.4;104.1;27.9;3.4;24.6;8.6;48.4;4.1;434;478;42.9;7.8;8.8;60.6;21.6;47.3;49.4;12.1;50.4;1.7;8.6;10
Antalyaspor;1.3;44;49;76;4;5;4;42.3;38.4;53.6;19.4;8.8;99;29;3;1;9;51.2;8;35;13.2;3.9;14;423.6;346.1;129.9;22.6;5;25.3;8.7;49;5.3;471;485;48.2;9.7;9.4;61.9;18.2;49.6;48.4;13.2;49.1;0.9;9.3;8
Ç. Rizespor;1.3;48;58;88;3;2;1;50.8;49.3;56.5;19.4;9.8;124;24;9;1;8;47.2;5;35;12.9;4.2;14;372.5;291.7;104.6;28.3;4.4;24.2;9.6;48.9;4.6;502;442;49.7;9.3;10.7;63.9;19.5;51.1;48.3;13.4;45.9;1.8;8.4;13
